iter	Passed	Remaining
1092	5396	2009
1093	5401	2004
1094	5406	1999
1095	5411	1994
1096	5416	1989
1097	5421	1985
1098	5426	1980
1099	5431	1975
1100	5437	1970
1101	5441	1965
1102	5446	1960
1103	5451	1955
1104	5456	1950
1105	5461	1945
1106	5466	1940
1107	5471	1935
1108	5475	1930
1109	5480	1925
1110	5485	1920
1111	5489	1915
1112	5494	1910
1113	5500	1905
1114	5504	1900
1115	5509	1895
1116	5514	1890
1117	5519	1885
1118	5524	1880
1119	5529	1876
1120	5535	1871
1121	5539	1866
1122	5545	1861
1123	5550	1856
1124	5555	1851
1125	5559	1846
1126	5566	1842
1127	5571	1837
1128	5576	1832
1129	5582	1827
1130	5587	1822
1131	5592	1818
1132	5597	1813
1133	5602	1808
1134	5607	1803
1135	5613	1798
1136	5619	1793
1137	5624	1789
1138	5629	1784
1139	5634	1779
1140	5638	1774
1141	5643	1769
1142	5648	1764
1143	5652	1759
1144	5657	1754
1145	5662	1749
1146	5667	1744
1147	5671	1739
1148	5676	1734
1149	5681	1729
1150	5685	1723
1151	5690	1719
1152	5695	1714
1153	5700	1709
1154	5705	1704
1155	5710	1699
1156	5715	1694
1157	5719	1689
1158	5724	1684
1159	5729	1679
1160	5734	1674
1161	5739	1669
1162	5744	1664
1163	5749	1659
1164	5754	1654
1165	5759	1649
1166	5763	1644
1167	5768	1639
1168	5774	1634
1169	5779	1630
1170	5784	1625
1171	5789	1620
1172	5793	1615
1173	5797	1609
1174	5802	1605
1175	5807	1600
1176	5812	1594
1177	5817	1590
1178	5823	1585
1179	5829	1580
1180	5834	1575
1181	5839	1571
1182	5844	1566
1183	5848	1561
1184	5853	1556
1185	5859	1551
1186	5864	1546
1187	5869	1541
1188	5874	1536
1189	5878	1531
1190	5884	1526
1191	5888	1521
1192	5892	1516
1193	5898	1511
1194	5903	1506
1195	5908	1501
1196	5913	1496
1197	5918	1491
1198	5923	1487
1199	5928	1482
1200	5933	1477
1201	5938	1472
1202	5943	1467
1203	5949	1462
1204	5954	1457
1205	5958	1452
1206	5963	1447
1207	5968	1442
1208	5973	1437
1209	5978	1432
1210	5983	1427
1211	5987	1422
1212	5992	1417
1213	5997	1412
1214	6002	1407
1215	6006	1402
1216	6012	1398
1217	6017	1393
1218	6022	1388
1219	6027	1383
1220	6032	1378
1221	6037	1373
1222	6042	1368
1223	6047	1363
1224	6052	1358
1225	6057	1353
1226	6063	1349
1227	6067	1344
1228	6072	1339
1229	6077	1334
1230	6082	1329
1231	6086	1324
1232	6091	1319
1233	6096	1314
1234	6101	1309
1235	6106	1304
1236	6111	1299
